sep=;
Agent1;Agent2;Domain;Agreement;Util1;Util2
TimeBased_Conceder;TimeBased_Boulware;SmallCoop;YES;1.0000;1.0000
TimeBased_Conceder;TimeBased_Conceder;SmallCoop;YES;1.0000;1.0000
TimeBased_Conceder;TimeBased_Conceder;SmallCoop;YES;1.0000;1.0000
TimeBased_Conceder;TimeBased_Conceder;SmallCoop;YES;1.0000;1.0000
TimeBased_Conceder;AdaptiveAgent;SmallCoop;YES;1.0000;1.0000
TimeBased_Conceder;AdaptiveAgent;SmallCoop;YES;1.0000;1.0000
TimeBased_Conceder;AdaptiveAgent;SmallCoop;YES;1.0000;1.0000
TimeBased_Conceder;MiCROAgent;SmallCoop;YES;1.0000;1.0000
TimeBased_Conceder;MiCROAgent;SmallCoop;YES;1.0000;1.0000
TimeBased_Conceder;MiCROAgent;SmallCoop;YES;1.0000;1.0000
TimeBased_Conceder;PhoenixAgent;SmallCoop;YES;1.0000;1.0000
TimeBased_Conceder;PhoenixAgent;SmallCoop;YES;1.0000;1.0000
TimeBased_Conceder;PhoenixAgent;SmallCoop;YES;1.0000;1.0000
TimeBased_Conceder;VortexAgent;SmallCoop;YES;1.0000;1.0000
TimeBased_Conceder;VortexAgent;SmallCoop;YES;1.0000;1.0000
TimeBased_Conceder;VortexAgent;SmallCoop;YES;1.0000;1.0000
AdaptiveAgent;RandomAgent;SmallCoop;YES;1.0000;1.0000
AdaptiveAgent;RandomAgent;SmallCoop;YES;1.0000;1.0000
AdaptiveAgent;RandomAgent;SmallCoop;YES;1.0000;1.0000
AdaptiveAgent;TimeBased_Boulware;SmallCoop;YES;1.0000;1.0000
AdaptiveAgent;TimeBased_Boulware;SmallCoop;YES;1.0000;1.0000
AdaptiveAgent;TimeBased_Boulware;SmallCoop;YES;1.0000;1.0000
AdaptiveAgent;TimeBased_Conceder;SmallCoop;YES;1.0000;1.0000
AdaptiveAgent;TimeBased_Conceder;SmallCoop;YES;1.0000;1.0000
AdaptiveAgent;TimeBased_Conceder;SmallCoop;YES;1.0000;1.0000
AdaptiveAgent;AdaptiveAgent;SmallCoop;YES;1.0000;1.0000
AdaptiveAgent;AdaptiveAgent;SmallCoop;YES;1.0000;1.0000
AdaptiveAgent;AdaptiveAgent;SmallCoop;YES;1.0000;1.0000
AdaptiveAgent;MiCROAgent;SmallCoop;YES;1.0000;1.0000
AdaptiveAgent;MiCROAgent;SmallCoop;YES;1.0000;1.0000
AdaptiveAgent;MiCROAgent;SmallCoop;YES;1.0000;1.0000
AdaptiveAgent;PhoenixAgent;SmallCoop;YES;1.0000;1.0000
AdaptiveAgent;PhoenixAgent;SmallCoop;YES;1.0000;1.0000
AdaptiveAgent;PhoenixAgent;SmallCoop;YES;1.0000;1.0000
AdaptiveAgent;VortexAgent;SmallCoop;YES;1.0000;1.0000
